symbol,time,open,high,low,close,volume
ETH-EUR,2024-01-18T00:35:00,2320.7,2322.26,2320.7,2322.22,0.4155635
ETH-EUR,2024-01-18T00:34:00,2321.23,2321.68,2320.77,2320.77,0.77700603
ETH-EUR,2024-01-18T00:33:00,2320.43,2320.81,2319.64,2319.64,0.07962805
ETH-EUR,2024-01-18T00:32:00,2318.89,2318.89,2318.23,2318.23,6.0676278
ETH-EUR,2024-01-18T00:31:00,2319.26,2320.12,2319.26,2319.77,0.06266859
ETH-EUR,2024-01-18T00:30:00,2320.55,2320.55,2319.44,2319.45,7.23431505
ETH-EUR,2024-01-18T00:29:00,2320.38,2320.54,2320.16,2320.54,0.09691056
ETH-EUR,2024-01-18T00:28:00,2319.83,2320.2,2319.68,2319.95,0.58570944
ETH-EUR,2024-01-18T00:27:00,2320.94,2320.94,2319.54,2319.54,0.07282747
ETH-EUR,2024-01-18T00:26:00,2321.11,2321.7,2321.06,2321.7,0.54473739
ETH-EUR,2024-01-18T00:25:00,2322.27,2322.27,2320.84,2320.84,2.11365857
ETH-EUR,2024-01-18T00:24:00,2321.6,2322.47,2321.45,2321.64,0.52983396
ETH-EUR,2024-01-18T00:23:00,2320.62,2320.62,2319.98,2319.98,5.93680931
ETH-EUR,2024-01-18T00:22:00,2322.53,2322.53,2321.8,2321.8,0.04366112
ETH-EUR,2024-01-18T00:21:00,2322.76,2322.76,2321.72,2321.72,0.05571495
ETH-EUR,2024-01-18T00:20:00,2322.93,2323.64,2322.72,2322.72,0.68158847
ETH-EUR,2024-01-18T00:19:00,2321.12,2323.15,2321.12,2323.15,7.70049957
ETH-EUR,2024-01-18T00:18:00,2321.44,2321.59,2320.67,2320.67,0.90090757
ETH-EUR,2024-01-18T00:17:00,2322.0,2322.17,2321.39,2321.72,1.65782919
ETH-EUR,2024-01-18T00:16:00,2323.61,2323.62,2323.17,2323.35,0.89731219
ETH-EUR,2024-01-18T00:15:00,2323.47,2324.7,2323.35,2324.14,0.31013081
ETH-EUR,2024-01-18T00:14:00,2322.9,2323.92,2322.9,2323.4,0.23961211
ETH-EUR,2024-01-18T00:13:00,2322.17,2322.2,2322.17,2322.2,1.00375764
ETH-EUR,2024-01-18T00:12:00,2322.95,2323.3,2321.74,2322.34,2.93940305
ETH-EUR,2024-01-18T00:11:00,2323.78,2323.78,2322.89,2322.97,0.37988111
ETH-EUR,2024-01-18T00:10:00,2324.32,2324.32,2322.89,2322.89,4.01792269
ETH-EUR,2024-01-18T00:09:00,2322.99,2323.14,2322.69,2322.69,1.51221725
ETH-EUR,2024-01-18T00:08:00,2322.63,2322.63,2321.61,2322.28,0.16661078
ETH-EUR,2024-01-18T00:07:00,2323.4,2323.4,2322.3,2322.3,0.12397274
ETH-EUR,2024-01-18T00:06:00,2323.33,2324.42,2323.33,2323.78,0.63730869
ETH-EUR,2024-01-18T00:05:00,2324.58,2324.58,2323.42,2323.46,0.4186462
ETH-EUR,2024-01-18T00:04:00,2323.95,2324.58,2323.36,2324.58,4.04794315
ETH-EUR,2024-01-18T00:03:00,2323.84,2325.03,2323.71,2323.97,0.35706445
ETH-EUR,2024-01-18T00:02:00,2322.78,2324.08,2322.63,2324.08,0.82597265
ETH-EUR,2024-01-18T00:01:00,2322.8,2323.11,2321.92,2322.96,2.81185304
ETH-EUR,2024-01-18T00:00:00,2323.3,2323.3,2322.23,2322.23,0.7398205
ETH-EUR,2024-01-17T23:59:00,2324.42,2324.45,2322.81,2323.55,0.18567505
